구,연월,지하철_승객_수
용산구,2024-07,3786680.0
용산구,2024-08,3521196.0
용산구,2024-09,3599770.0
용산구,2024-10,4101528.0
용산구,2024-11,4011390.0
용산구,2024-12,4067224.0
용산구,2025-01,3465107.0
용산구,2025-02,3507958.0
용산구,2025-03,4386878.0
용산구,2025-04,787778.0
은평구,2021-11,142626.0
은평구,2021-12,277983.0
은평구,2022-01,3768690.0
은평구,2022-02,3237428.0
은평구,2022-03,3612077.0
은평구,2022-04,4064787.0
은평구,2022-05,4423547.0
은평구,2022-06,4179385.0
은평구,2022-07,4270073.0
은평구,2022-08,4203434.0
은평구,2022-09,3904314.0
은평구,2022-10,4476295.0
은평구,2022-11,4359982.0
은평구,2022-12,4286142.0
은평구,2023-01,3929731.0
은평구,2023-02,3989999.0
은평구,2023-03,4614830.0
은평구,2023-04,4392784.0
은평구,2023-05,4490037.0
은평구,2023-06,4360225.0
은평구,2023-07,4299979.0
은평구,2023-08,4229579.0
은평구,2023-09,4225454.0
은평구,2023-10,4451445.0
은평구,2023-11,4442560.0
은평구,2023-12,4397827.0
은평구,2024-01,4289321.0
은평구,2024-02,3959648.0
은평구,2024-03,4565635.0
은평구,2024-04,4567038.0
은평구,2024-05,4622333.0
은평구,2024-06,4312086.0
